ENGLISH_NAME,KOREAN_NAME,IATA_CODE,ICAO_CODE
Incheon International Airport,인천 국제공항,ICN,RKSI
Gimpo International Airport,김포 국제공항,GMP,RKSS
Gimhae International Airport,김해 국제공항,PUS,RKPK
Jeju International Airport,제주 국제공항,CJU,RKPC
Daegu International Airport,대구 국제공항,TAE,RKTN
Cheongju International Airport,청주 국제공항,CJJ,RKTU
Gwangju Airport,광주 공항,KWJ,RKJJ
Muan International Airport,무안 국제공항,MWX,RKJB
Yangyang International Airport,양양 국제공항,YNY,RKNY
Ulsan Airport,울산 공항,USN,RKPU
Sacheon Airport,사천 공항,HIN,RKPS
Pohang Airport,포항 공항,KPO,RKTH
Gunsan Airport,군산 공항,KUV,RKJK
Yeosu Airport,여수 공항,RSU,RKJY
Wonju Airport,원주 공항,WJU,RKNW
Seoul Airport,서울 공항,SSN,RKSM
Jeongseok Airport,정석 공항,JDG,RKPD
Adelaide International Airport,애들레이드 국제공항,ADL,YPAD
Albany Airport,올버니 공항,ALH,YABA
Albury Airport,엘버리 공항,ABX,YMAY
Alice Springs Airport,앨리스 스프링스 공항,ASP,YBAS
Alpha Airport,알파 공항,ABH,YAPH
Alyangula Airport,알리앵굴라 공항,GTE,YGTE
Ararat Airport,아라라트 공항,ARY,YARA
Archerfield Airport,아체필드 공항,,YBAF
Armidale Airport,아미데일 공항,ARM,YARM
Avalon Airport,아발론 공항,AVV,YMAV
Bacchus Marsh Airport,바투스 바쉬 공항,,YBSS
Bairnsdale Airport,반즈데일 공항,BSJ,YBNS
Ballarat Airport,밸러렛 공항,,YBLT
Ballina Byron Gateway Airport,밸리나 바이런 게이트웨이 공항,BNK,YBNA
Balranald Airport,발라놀드 공항,BZD,YBRN
Bankstown Airport,뱅크스타운 공항,BWU,YSBK
Barcaldine Airport,바르칼딘 공항,BCI,YBAR
Bathurst Island Airport,베더스트아일랜드 공항,BRT,YBTI
Bedourie Airport,베두리 공항,BEU,YBIE
Belmont Airport,벨먼트 공항,BEO,YPEC
Benalla Airport,베날라 공항,BLN,YBLA
Bendigo Airport,벤디고 공항,BXG,YBDG
Birdsville Airport,버드스빌 공항,BVI,YBDV
Blackall Airport,블랙올 공항,BKQ,YBCK
Blackwater Airport,블랙워터 공항,BLT,YBTR
Boulia Airport,부리아 공항,BQL,YBOU
Bourke Airport,부케 공항,BRK,YBKE
Brewarrina Airport,브레와리나 공항,BWQ,YBRW
Brisbane International Airport,브리즈번 국제공항,BNE,YBBN
Broken Hill Airport,브로큰힐 공항,BHQ,YBHI
Broome International Airport,브룸 국제공항,BME,YBRM
Bundaberg Airport,번다버그 공항,BDB,YBUD
Burnie Wynyard Airport,버니 윈야드 공항,BWT,YWYY
Busselton Regional Airport,부셀톤 지역공항,BQB,YBLN
Cairns International Airport,케언스 국제공항,CNS,YBCS
Cambridge Aerodrome,케임브리지 비행장,,YCBG
Camden Airport,캠던 공항,CDU,YSCN
Canberra International Airport,캔버라 국제공항,CBR,YSCB
Carnarvon Airport,카나번 공항,CVQ,YCAR
Ceduna Airport,세두나 공항,CED,YCDU
Charleville Airport,샤를빌 공항,CTL,YBCV
Chinchilla Airport,친칠라 공항,CCL,YCCA
Christmas Island Airport,크리스마스아일랜드 공항,XCH,YPXM
Clermont Airport,클레르몽 공항,CMQ,YCMT
Cleve Airport,크레브 공항,CVC,YCEE
Cloncurry Airport,클론커리 공항,CNJ,YCCY
Cobar Airport,코바 공항,CAZ,YCBA
Cobden Airport,코브던 공항,,YCDE
Cocos (Keeling) Island International Airport,코코스 킬링 아일랜드 국제공항,CCK,YPCC
Coen Airport,코언 공항,CUQ,YCOE
Coffs Harbour Airport,코프스하버 공항,CFS,YSCH
Colac Airport,콜락 공항,,YOLA
Coldstream Airport,콜드스트림 공항,,YCEM
Collarenebri Airport,콜라레네브리 공항,CRB,YCBR
Connellan Airport,코넬런 공항,AYQ,YAYE
Coober Pedy Airport,쿠버페디 공항,CPD,YCBP
Cooktown Airport,쿡타운 공항,CTN,YCKN
Coolangatta Airport,쿨랑가타 공항,OOL,YBCG
Cooma-Snowy Mountains Airport,쿠마 수노이 공항,OOM,YCOM
Coonabarabran Airport,쿠나바라브란 공항,COJ,YCBB
Coonamble Airport,쿠남블 공항,CNB,YCNM
Cootamundra Airport,쿠타문드라 공항,CMD,YCTM
Corowa Airport,코로와 공항,CWW,YCOR
Corryong Airport,코리용 공항,CYG,YCRG
Cowell Airport,코웰 공항,,YCWL
Cowra Airport,코우라 공항,CWT,YCWR
Croker Island Airport,크로커아일랜드 공항,CKI,YCKI
Cue Airport,큐 공항,CUY,YCUE
